Feature,Importance
sensor_4_mean,0.48043913760491336
sensor_11_mean,0.11244716835876505
sensor_15_mean,0.04211233596320639
sensor_3_mean,0.03668794107334642
sensor_7_mean,0.03044221608612133
sensor_2_mean,0.029898310193599304
sensor_7_std,0.028488558415146706
sensor_15_std,0.028071403581155396
sensor_3_std,0.027152010369122345
sensor_4_std,0.027100272426727894
sensor_2_std,0.025385624994392966
sensor_11_std,0.02528157888754273
sensor_15,0.01904517427409117
sensor_4,0.019041605467712077
sensor_3,0.018996371792407738
sensor_7,0.01710902637108273
sensor_2,0.016933929787749828
sensor_11,0.01536733435291684
